artist,title,genre,spotify_id,valence,arousal,dominance,d2_tags
Bright Eyes,When The President Talks To Go,indie,2AckvF8zhoMhmZ49jmIf8O,1.5664864864864865,1.253108108108108,1.7598648648648647,{}
Sonic Youth,The Sprawl (Live),indie rock,0EVXPmBm3EMyZmJWTQTYXO,2.06,2.95,3.01,{}
I Fight Dragons,Welcome To The Breakdown,electronica,2FLpnGNaXVLBbTcycUyj0n,2.06,2.95,3.01,{}
Luc Arbogast,Ad Mortem Festinamus,folk,4hQQVFVVUGcYJSSEax80Ua,3.7718181818181815,3.853636363636364,3.492727272727273,{}
Kevin Max,Untitled,alternative,4HvQYzwoQox5PTkut0qcbF,1.525,3.12,1.76,{}
10 Years,Drug of Choice,alternative rock,5bwJVTyYzj66jfvXoU9L3C,2.07,3.31,1.66,{}
Nebulo,batman dancefloor,electronic,2dz8MDKwL1FNPyosCtJS1q,2.07,3.31,1.66,{}
Liquid Liquid,Scraper,post-punk,6AJqOfsBIH90osgTf8onWn,3.37,3.25,3.4933333333333336,{}
Bessie Smith,Gimme a Pigfoot,blues,2f6127b2JQb92pbQGadlth,3.4910714285714284,3.8339285714285714,5.4678571428571425,{}
Bessie Smith,Aggravatin' Papa,blues,52AVPhiLKUui44osegMNbf,3.495575221238938,3.8504424778761064,5.469911504424779,{}
Ferri,Zoetrope,trip-hop,5U2GKMt0ftgmQDkmXxxx0x,2.547557251908397,2.1077099236641224,2.393053435114504,{}
Pharmakon,Body Betrays Itself,experimental,3p2ELxpr89ETLYmvYKlxat,2.005,3.7425,2.4299999999999997,{}
Simon Finn,Jerusalem,singer-songwriter,7pkNfihnK4mrV9MXQRJdPZ,4.154000000000001,3.709999999999999,3.7799999999999994,{}
The Cure,To Wish Impossible Things,new wave,1lGA1yVlhvrbyPvQ9tiWPh,3.83004347826087,3.59495652173913,4.097391304347825,{}
Youth Lagoon,Mute,indie,7yOuXFe5Z8ywavuRNa5nG2,4.244,3.366,4.122,{}
City and Colour,Hope for Now,folk,6jCTatrnxRtCYG7d31JOWO,2.299714285714286,2.986142857142857,2.8954285714285715,{}
Björk,An Echo A Stain,electronic,1cmvBuBe0DQIkizOhcm5wk,4.220000000000001,3.838333333333334,4.183333333333334,{}
Tortoise,Ten-Day Interval,post-rock,5A2vl9MadJ87kas3R3GoTm,4.109605263157895,3.643815789473684,3.794210526315789,{}
Cat Power,Good Clean Fun,indie rock,0bR3ZRex5iMvLf7R8Llfox,4.051574803149606,3.920551181102362,4.111653543307086,{}
Howie Day,Come Lay Down,singer-songwriter,1AB6PxollHd0b1atinbbRN,4.4498139534883725,3.908883720930232,4.978,{}
The Appleseed Cast,Fight Song,post-rock,5lEnGlS5AxaNzcdEOrg4Yo,4.28,3.8,3.63,{}
The Field,Is This Power,electronic,6gNyWXWnOmNwhHmrqCoq6z,4.3225,3.5225,4.2275,{}
The Notwist,Hands On Us,electronic,4pavphWAkF6wQ76Vj2Qy3u,1.1153174603174605,1.0162698412698414,1.1473015873015873,{}
Cocteau Twins,Glass Candle Grenades,shoegaze,2P2Yh1eLIsntqDspWGrw4n,1.4125,1.65,1.3925,{}
Swans,Blood and Honey,experimental,5RPomiifAjTJfvmWNuJajw,3.902840909090909,3.2988636363636363,3.5842045454545457,{}
Frank Turner,Better Half,singer-songwriter,1wlvPrjDTWSNCuxDvGAMbK,3.39,3.96,3.3420000000000005,{}
Björk,Body Memory,experimental,5yGhCwFX6VOldPFh4Y21PK,4.238706199460917,3.578679245283019,3.788544474393531,{}
Scarlett Johansson,Song for Jo,alternative,0WUR8N8ewrdfCSP9Puaw3p,3.491162790697674,2.587906976744186,3.2706976744186043,{}
Dan Deacon,Jimmy Joe Roche,electronic,6CU04lxIdOnp90X3ioxrTD,3.6333333333333337,3.443333333333333,3.17,{}
Poe,Spanish Doll,alternative,01DM4JTPZ6Xa18DsdB8U9O,4.391315789473683,3.8510526315789466,4.4028289473684215,{}
...And You Will Know Us by the Trail of Dead,Clair De Lune,alternative rock,2YgGHc1qdzOXXbJg6WPy4P,2.825,3.3,2.785,{}
Low,On the Edge Of,indie,7EVdLCWrvpHsTEQFijzeu9,4.279999999999999,3.821249999999999,4.6125,{}
John Frusciante,Running Away Into You,experimental,0BCnNOixX8zSyWNo7I7onO,3.6744099378881985,3.216521739130435,3.371801242236025,{}
The Avett Brothers,Colorshow,folk,3L3H7jjUYE0ZLl0gMiV8w9,2.825,3.3,2.785,{}
Bright Eyes,Messenger Bird's Song,indie,5cQJ0tvH3ZxINFUck2geHn,2.8766666666666665,3.2316666666666665,3.4858333333333333,{}
Wire,A Touching Display,post-punk,69ToRBlsvl4tMXkOVcr4qi,3.837162162162162,3.6118918918918914,3.441891891891892,{}
Ólafur Arnalds,Brotsjór,ambient,5u6POyze1KwvLdGRpTvPPd,3.210769230769231,2.9197252747252747,3.0365384615384614,{}
Spoon,Claws Tracking,indie rock,3nCLTmrxRaXp1jmdl91uTa,4.0075,3.5925,4.2425,{}
The Cat Empire,The Darkness,alternative,0agY9LDN5MIFCbO729wCys,2.825,3.3,2.785,{}
Denali,Normal Days,indie rock,3mhJhxPTNqA6OAiF3fHdZj,2.825,3.3,2.785,{}
VNV Nation,Distant (Rubicon II),electronic,0b6XRDXFKMn6wZAebMwu4y,3.6293650793650793,2.868015873015873,3.566825396825397,{}
Tindersticks,My Oblivion,indie,3C9IRpAeP5Qy4cvcRxkRCG,3.998,3.908666666666667,4.089333333333333,{}
Tindersticks,Running Wild,indie,6mm8zS1NudS6pmV9REG0U2,2.7457142857142856,3.297142857142857,3.0085714285714285,{}
Plaid,Air Locked,ambient,0vjYm7Uaifp7RhLomgjX4M,3.6,3.5283333333333338,4.28,{}
Soul Coughing,Bus to Beelzebub,indie,4txSFoaRktodSZEnT00WiT,4.0875,3.3125,4.25,{}
Siouxsie and the Banshees,Cannibal Roses,new wave,4HKPAb6z3keXXjPgY4KIBx,1.405,2.82,1.775,{}
Siouxsie and the Banshees,We Fall,new wave,6GpnxUMuhfpWjJE6vsjEcE,2.645,1.74,2.805,{}
Atom and His Package,Going to Georgia,electronic,5DjeQPzhJa5jzEMUTYwwtD,4.220000000000001,3.533333333333333,3.6133333333333337,{}
Brad Mehldau,Paranoid Android (Live),jazz,19DID34tJdEVJ6lTb70qm5,2.095,2.275,1.815,{}
Serene Ailment,Penance,sad,4QhQgPgEtz4yFJUEkU0nkE,3.88625,3.9025,3.9525,{}
Clogs,I Used to Do,indie,2XWqu64LGuyLlLmt5sGDE4,1.57,2.38,2.075,{}
Scott Walker,Bouncer See Bouncer...,experimental,0XSkUq7PJOZeYZzTNxRO80,2.5525185185185184,3.5196296296296294,2.5449629629629635,{}
Tera Melos,Bite,indie rock,7sZNUVzfmUkK0dl24mZs4C,2.74,2.95,2.9200000000000004,{}
Hildur Guðnadóttir,Learning How to Act Normal,dark ambient,0voDqz72ORk3JETp1OUZiz,2.5225,3.92,3.0825,{}
Lisa Gerrard,The Crossing,ambient,6g8OqmBpHXlIfKx3zpYhc7,1.4348809523809525,2.090595238095238,1.7465476190476197,{}
Midnight Syndicate,Shadows,dark ambient,3N5GFPw1aAICWaixvDpLRD,2.0940000000000003,3.292,2.4240000000000004,{}
Morkobot,Cammut,experimental,0qX8e474JNs14OdaImX79f,2.7966666666666664,2.8299999999999996,2.696666666666667,{}
Buz,Ecuador,electronic,6yboKlqA3Jb9BDMQDfjXBO,2.18,3.443333333333334,2.6866666666666665,{}
Vic Sadot,Beer Muscles,blues,3fsKS547mTFXAQuHKnMaGk,2.5,2.995,3.7575,{}
The Strange,Broken Bones,blues,6CLcShA9QZz35X39xGjcyt,4.162,3.72,4.406,{}
Swans,Stupid Child,experimental,7qcNm3UBrPr4n3TDD87wQb,1.7333333333333334,3.289999999999999,2.18,{}
Soft Cell,Baby Doll,new wave,4Iug1NAftK1C0zR8jYsukb,4.2325,3.7725,3.7825,{}
Firewater,Anything at All,alternative,6Sw4OPjwlR2PfGGls7ax9Y,1.87,2.065,1.98,{}
Lisa Germano,I Love a Snot,singer-songwriter,4fpRubTtOXGx9QnC10cyzk,2.54,2.045,2.305,{}
Lisa Germano,"Forget It, It's A Mystery",singer-songwriter,4J7ROPeAO2HM5kiqqOTwA9,2.54,2.045,2.305,{}
Joy Division,Heart And Soul (Remastered),post-punk,2l7YzEVRQjEn7qiBLqvQMy,2.54,2.045,2.305,{}
The Fall,Mansion,indie,4z9tXLfMb0lwBX0CGfPPBa,3.537464788732395,3.596619718309859,3.3143661971830984,{}
Lost in the Trees,Walk Around the Lake,indie rock,0ogMcL24FJmUCdW5EC32rC,1.975,2.7850000000000006,2.24,{}
Akira Yamaoka,Rain of Brass Petals,electronic,520FkYBBkcK8VBp1R0N03r,2.0166666666666666,3.02,2.7733333333333334,{}
Public Image Ltd.,Francis Massacre,post-punk,0GhKq5xyV8uYRWlZFtIjXx,1.975,2.785,2.24,{}
Richard Thompson,I Misunderstood,singer-songwriter,6sFDgQSKphJdpdYznrwwuF,3.920000000000001,3.905,4.058999999999998,{}
Bob Dylan,High Water,folk,1r6IfDCKm3YqPo5UyFvSMv,3.8575,3.8825,4.92,{}
R.L. Burnside,Shuck Dub,blues,7lNr4eqSP7MCUCbDUGHWRo,3.497826086956522,3.8656521739130434,5.314782608695652,{}
Hecq,Dis,ambient,4YpsL87RD3QIt5oaYSXTNE,3.911999999999999,3.3359999999999994,4.146,{}
Karl Sanders,Kali Ma,ambient,2pLsAE2ysi1vvhLjPwWIef,3.701089108910891,3.384554455445545,3.818217821782178,{}
Hecq,Dis (Reverberation),electronic,6bXqg6n8W85YtL3X3JKucH,1.975,2.785,2.24,{}
Gary Numan,Berserker,electronic,0qLfKglZdKheWDjGE5mMbP,3.01,3.22,3.0300000000000007,{}
Nox Arcana,The Grande Hall,dark ambient,7DJfmTagz1esGIKa4i3p4o,3.8474999999999993,3.4375,3.675,{}
Midnight Syndicate,Relic Uncovered,dark ambient,73pvSNr6EyE4zfMWVylFA0,3.8474999999999993,3.4375,3.675,{}
Midnight Syndicate,Forbidden Crypts,dark ambient,1Q4dWOkADniEFyY94VfIpa,3.8475,3.4375,3.6750000000000007,{}
Svartsinn,Towards the Dark and Cold,dark ambient,5ZG7rymOEwm2l5r7J3FAaQ,3.5547191011235957,3.771460674157304,3.752134831460674,{}
The Legendary Pink Dots,This Could Be The End,experimental,3OdWIL0FK7xdY2yLwGAYqo,2.527079207920792,3.125,3.0714851485148515,{}
Midnight Syndicate,Undead Hunters,dark ambient,0oWRsI5B6aE2N6OyA5LGH5,4.362011834319526,3.8304733727810647,4.325384615384616,{}
Penitent,Veien,dark ambient,4bGK2heccgIlo0bu3TQ4L7,3.6875,3.4375,3.5500000000000007,{}
Robert Rich,Part 2,ambient,6KlU318oOgxbTqG1cw4xk9,3.3975,3.8925,3.035,{}
The Brian Jonestown Massacre,golden-frost,alternative rock,4PsA5KQOT1P0brI4nC8SWN,2.3433333333333333,3.8133333333333335,3.3233333333333333,{}
Films,control,dark ambient,23dC5OvoQE90MZISMeHzcy,3.5025,3.70125,3.32625,{}
Ambre,Escale,dark ambient,0TcP6JSOff18FhKj27babP,2.316666666666667,3.64,2.7266666666666666,{}
Forward Strategy Group,Inside The Shadows,downtempo,2FVGES8KgtjoaMsaoxKEVn,3.24,3.415,3.4425,{}
Hrsta,Tomorrow Winter Comes,ambient,63xgoYaAgbxdMgIxdJaAkM,2.3511904761904763,3.3154761904761907,2.666666666666667,{}
Screamin Jay Hawkins,I Put a Spell on You,blues,3sLhMSePzxSrmxluIqeoAZ,3.2316161616161616,3.614141414141414,4.301565656565657,{}
Mstislav Rostropovich,"Cello Suite No. 5 in C, BWV 1011 I. Prelude",sad,0UPJZEVCJ3yKG2iqc15FfR,2.0166666666666666,3.02,2.7733333333333334,{}
Matmos,Roses & Teeth for Ludwig Wittgenstein,electronic,27nRKfLZHYLYRzYLcT5yb6,3.143529411764706,3.371176470588235,3.521764705882353,{}
Marissa Nadler,Hay Tantos Muertos,folk,1G6abV0L63OzcVbsLFbzBr,3.4275,3.931666666666667,3.961666666666666,{}
Ryan Adams,To Be Young,singer-songwriter,0aLk2Za7r0eGlLOepW2hzL,3.8390839694656496,3.67618320610687,4.629847328244276,{}
The Replacements,Favorite Thing,alternative,4OOdr4y9vFngVywhqn5hLZ,3.336,3.804,3.95,{}
The Replacements,Little Mascara,indie rock,2gp2MEaiTOvRIWPeCxRL5Z,3.252,3.654,3.802,{}
James Pants,This Crazy Sound,electronic,44Q7cSIX3lIosjn1TRFWeA,4.2725,3.9075,4.0075,{}
Marina and the Diamonds,Teen Idle,alternative,7HSZigV3SjVlKrCfz2iR28,4.123378378378378,3.712702702702702,4.86472972972973,{}
Aphex Twin,Gwarek2,experimental,37GmMcVxRYtQsvruXdPfwB,4.078818181818182,3.898,3.885636363636365,{}
Trentemøller,The Very Last Resort,electronic,14U3Jkn1uCMOGlkQFzbFFd,1.2050000000000003,2.24,2.09,{}
Tom Waits,Eyeball Kid,alternative,4OUrrO4JYfB4BAF6Nq1d2S,3.38304347826087,3.2030434782608697,4.69,{}
The Pop Group,Savage Sea,experimental,5vYt9ZaAfLNnz0ADxewUIo,3.858695652173913,3.955760869565217,3.8757608695652177,{}
Tom Waits,Black Box Theme,experimental,42Wq3QC7HxMVqRAAq0cQ02,3.4047191011235953,3.5442696629213484,4.079887640449439,{}
Dinosaur Jr.,Bulbs of Passion,indie,0cQj31y73Gb8GtDqIfUTJf,3.61,3.01,3.145,{}
The Pop Group,We Are Time,post-punk,2FyMbe88Db0Cai0X6XZkwM,2.8266666666666667,3.22,2.84,{}
Butthole Surfers,HAY,alternative rock,3bh3XLVDa06uYcTW3LE1CL,2.408148148148148,3.661111111111111,2.8745185185185185,{}
Dirty Beaches,Hotel,experimental,6Dyij0b1YlcjsOC08QxXGU,2.54,2.045,2.305,{}
The Fall,To NK Roachment: Yarbles,post-punk,16pUCHRzEayZ3LYLQYvT4J,1.375,2.66,2.36,{}
Kwoon,Schizophrenic,post-rock,6ADLJ5LDRcja0aqSTqgZuw,1.87,2.065,1.98,{}
Black Eyes,Day Turns Night,experimental,6aE4YhOMRvpTewud7kRSKo,1.5,2.675,1.85,{}
Autechre,iris was a pupil,electronic,7oqZtmMt3dHNFaAJgqliLI,2.5311111111111115,3.4726666666666666,3.0734814814814815,{}
Guided by Voices,Circus World,indie,5O5rVQWCLjcPchH27hNZ2G,1.87,2.065,1.98,{}
John Vanderslice,Time Travel Is Lonely,indie,3lsO1fK4wGLsENSMnDV76B,4.431287128712872,1.8640594059405944,4.643564356435643,{}
Labradford,The Cipher,ambient,1GnEph5t19CIuW1C9VO4u6,2.9066666666666667,3.1466666666666665,2.936666666666667,{}
Matt Elliott,Let Us Break,sad,2eomx6qLa6Iiatf54zQB4W,3.000170212765958,3.5538297872340427,3.623914893617021,{}
Art Ensemble Of Chicago,Nice Guys,jazz,5MDxPBSpSzkdCX3UfUTj0u,3.2625,2.438636363636364,4.455454545454545,{}
Black Prairie,Red Rocking Chair,folk,5jFW4dt0r0YBgt6jb9qZfd,3.774,3.878,3.592,{}
The Dream Academy,Lowlands,new wave,1fCsAqhFw5rEDjkPRH9SHc,3.6266666666666665,2.4466666666666668,3.5533333333333332,{}
Kayo Dot,All the Pain in All the Wide World,experimental,2buyVqqpwEThUvt0z75z36,2.1775,3.6175,3.2025,{}
Belbury Poly,Caermaen,electronic,4qkrxmPzmepaAzbxhaA6Oi,3.44,3.842,3.634,{}
Lisa Knapp,Salisbury Plain,folk,5tzGTMoPQExnY4kGKySt8A,2.2,3.0,2.24,{}
Wire,Mercy (LIVE),experimental,7A8NLREMp1WXVED9cfZWZY,3.2,1.835,2.775,{}
Mono Puff,Pretty Fly,alternative,1OMIZ1sEf0TuYp2NSSM96E,3.05,1.8,3.2,{}
"greenwood, johnny",Splitter,jazz,2zXJC0cYs73vHUupwZ2TUi,1.45,2.545,1.905,{}
The Smashing Pumpkins,Once In A While,alternative rock,469ziIz3ATOCd5LdvHFL96,3.0766666666666667,2.176666666666667,3.313333333333333,{}
Cold,Ugly,alternative rock,1BahwDp8VpzUCVFFMCmnu0,3.454615384615385,3.282051282051282,4.184102564102564,{}
Cold,Goodbye Cruel World,alternative rock,1gFAzvZMJ9cryHn7WPQP7Q,2.88,2.3666666666666667,3.4466666666666668,{}
Buckethead,Nun Chuka Kata,experimental,1AaerPFs7hrKbbc1b9eN59,1.66,2.32,1.54,{}
Killing Joke,Intellect,post-punk,6XSywRtVv4oDoZDFx3b1bg,2.475,1.85,3.38,{}
David Ruffin,Flower Child,soul,4hfWMvy24fC8ARALw0K81f,1.05,1.745,1.92,{}
Starred,Call From Paris,indie,1yP3Sp9mm7WxJrTKRs5Jfq,2.825,3.3,2.785,{}
Nick Cave and the Bad Seeds,Knockin' On Joe,alternative rock,6LWbsuizvIDhRInuMTUuKj,3.47,3.673333333333334,3.1666666666666665,{}
The Fall,City Hobgoblins,post-punk,62hHF266kPe7hlbsyFhWrP,4.134,3.854,4.392,{}
Archers of Loaf,Chumming the Ocean,indie,1gp42C1ZeQyijMAYanBZYD,3.2933333333333334,3.2333333333333334,3.486666666666667,{}
Wire,The Boiling Boy,alternative,1UEXt8wcHhmYyGU9LcTe8m,3.588333333333334,4.0,4.366666666666666,{}
Nick Cave and the Bad Seeds,All Tomorrow's Parties,post-punk,5PVsCUUidQVguSsQLJCeJs,2.9166666666666665,3.57,3.8633333333333337,{}
Warpaint,Warpaint,shoegaze,3uwGdk3fTCJWdsgSP3xarW,3.374901960784314,2.2915686274509803,2.9033333333333333,{}
Tom Waits,All Stripped Down,blues,7ewEOs7UyFUyvPuaKiupFn,3.606814814814815,3.591333333333333,4.916814814814814,{}
Suicide,Rocket Usa,post-punk,4blOl7hn38P3Q2AB2L4TlT,1.1372972972972972,1.262702702702703,1.0702702702702702,{}
Shearwater,Rooks,indie,3wS568uaBrv1ULtMmh9bbN,3.5980000000000003,2.774,3.3160000000000003,{}
Bill Callahan,All Thoughts are Prey to Some Beast,indie,1EhtOYRE5CLvYZBoTOL6PY,4.165,2.96,3.7675,{}
Say Anything,The Word You Wield,alternative rock,5pjgsr79v5GjPtY8G6Cdg5,4.266666666666667,3.38,3.8133333333333335,{}
Low,Pretty People,indie,5vcizVsii3SzJuniGZoAYT,4.361217391304348,2.932956521739131,4.05904347826087,{}
"¡Forward, Russia!",Thirteen,indie,4R8Qy25YGvIYusjmmCryLY,3.7850000000000006,3.05,2.905,{}
This Heat,A New Kind of Water,experimental,6Czpq4cmeuv3sc5K9281or,1.625,2.0,1.95,{}
Dirty Three,Ends Of The Earth,post-rock,2SRjggiVD1LB3ivsgT2MTs,3.936666666666667,2.673333333333333,3.62,{}
Squarepusher,Ruin,electronic,3ZLrDn4H2Yf49AqqcXcmiw,4.266666666666667,3.38,3.8133333333333335,{}
Tiny Tim,Tip Toe Thru' the Tulips With Me,experimental,1Vchex0xowRj9k59RLvRfo,4.235,3.025,3.605,{}
Current 93,Thunder Perfect Mind II,experimental,6WKzOcKc1rZxkRZblw9lPB,3.34,2.185,2.525,{}
Colleen,Long Live Mice in the Metro,ambient,2bxU91lro7lnaHRE9B2Vha,1.8475,1.9325,2.2275,{}
Sleepytime Gorilla Museum,Ablutions,experimental,1CwhH6rF9jGCz6npAsqadT,3.86,3.0249999999999995,3.415,{}
Labradford,Scenic Recovery,ambient,2GD81NMNCXPEnDhj7RtifR,3.2150000000000003,3.183333333333333,3.381666666666667,{}
Arcana,March of Loss,dark ambient,70qLc4g9jALG6CpSnLuPLv,3.614,3.6520000000000006,3.665999999999999,{}
Mount Sims,Ashes,electronica,2RM99SilID02L1QT4lbdEn,4.21,2.7475,4.055,{}
Current 93,"It Is Time, Only Time",singer-songwriter,63W1ZOoMRCbdgTDpkm18TB,1.46,1.905,1.95,{}
Seefeel,When Face Was Face,electronic,4g5xSjkt8TvMVTHoMmtFFu,3.025,2.725,2.38,{}
Current 93,Chewing On Shadows,dark ambient,5SmuvDHBTCTX6e3PH5nvuL,2.62,2.0,1.59,{}
Hecq,Giants,ambient,6kHazW34Rk9ED21Bu2VSIg,2.86,2.045,2.555,{}
Hecq,Magnetism,ambient,4GsFvKSpPzs5rrpHQoTTjG,2.86,2.045,2.555,{}
Nina Simone,22nd Century,jazz,1NZAisHXFuKJqOjr14TvDN,1.24,1.5,1.7849999999999997,{}
Lisa Gerrard,Solace,ambient,51E2RKkV16jkXQ6lrDn8jV,1.05,1.745,1.92,{}
Current 93,Judas As Black Moth II,singer-songwriter,0Mr0u7kcDLVe5xjgbZ5RLf,1.2466666666666666,1.3766666666666667,1.32,{}
Raime,If Anywhere Was Here He Would Know Where We Are,dark ambient,3JkYxonCipv0U89bMgfQDx,3.6475,2.875,3.3425,{}
Raison D'Être,The Wasteland,dark ambient,4a6ziAbdakNcfZavBEvaP6,1.97,2.18,2.415,{}
Current 93,Locust,experimental,4kHTVmAr4MTB55SOxuIKUh,3.3733333333333335,2.9533333333333336,3.556666666666666,{}
Current 93,Maldoror Is Ded Ded Ded Ded,experimental,0QDefl5lHz4Li7ZWakrpVk,4.2775,3.295,3.585,{}
Bohren & der Club of Gore,3,jazz,1Cza277Bls93UYYKkmiSnb,2.2,3.0,2.24,{}
The Legendary Pink Dots,Sterre,experimental,75HSMogR4OoKdKKclw424X,2.605,1.735,2.74,{}
Coil,Ostia,experimental,6BJIxnku7keldgmaN6vhkV,1.27,1.0225,1.1525,{}
The Legendary Pink Dots,Waiting For The Cloud,experimental,52v4RndWtT6h1XzZVJ55T0,3.595,2.4,2.6599999999999997,{}
Ordo Rosarius Equilibrio,Serpent Kisses and Serpent Smiles Inside the Order of Roses and Equilibrium,dark ambient,01Gy4gngo60BWDHN0nqnPU,2.86,2.045,2.555,{}
Data,Stop,electronic,6FIgO4W0JJeaY7myF1SEwP,2.2733333333333334,1.143333333333333,2.1466666666666665,{}
Ordo Rosarius Equilibrio,Ode To the Beloved and Impaired,dark ambient,6AlcTDU3K1CyKeovZm7gXf,2.54,2.045,2.305,{}
Senking,Common Business,electronic,27B0riYvLZCQPYLlonjNuh,1.5,2.675,1.85,{}
Charles Mingus,Eclipse,jazz,0WHO4OsdaUJhyUBIYmO9b2,2.58,1.625,2.775,{}
Hecq,Cr.Blox,electronic,2icfVDEEMAMn7iSw46cEoF,2.296666666666667,2.4833333333333334,2.37,{}
The Legendary Pink Dots,Lisa's Party,experimental,6kDUPwxQ1UC4diiC5pyS6x,2.4026666666666667,1.9795555555555555,2.5336296296296297,{}
Sabled Sun,This Is Where The World Ends,ambient,17retSrJwod0YK2geceKID,2.86,2.045,2.555,{}
Hecq,Bad Karma,electronic,4w7GMijxGsrsqU82riXhTK,3.5225,3.045,3.475,{}
Lamia Vox,Enemy of Heaven,dark ambient,110VAghNprz2FUvxUXhgzI,2.625,1.865,1.97,{}
Centhron,Gleichschritt,electronic,37Vt1mHGMdplkugNpsAw7e,3.595,2.4,2.66,{}
Flint Glass,Dust particles,electronic,4GfG9YcDN9zOOLHkWrYOk3,2.7733333333333334,3.3033333333333332,2.64,{}
New Risen Throne,A Glance Thru The Mournful Remains,dark ambient,2cPYjx6AKUaJBGHbtK5xPs,3.6,2.7266666666666666,3.24,{}
Front Line Assembly,Prophecy (YK2000 Mix),electronic,1b4fiCaR68J51SsQ9CoAy8,3.57,3.3866666666666667,3.1733333333333333,{}
Pauline Oliveros,Mnemonics III,experimental,3GtjlrRLobqKsSx3Iij8LI,2.1333333333333333,3.64,2.536666666666666,{}
Dirge,Epicentre,dark ambient,5AauaapIOBsBk47B3ldWcv,2.86,2.045,2.555,{}
klangstabil,Kill All Lifeforms,electronic,2xJsaTQRaSHuLJS1OtjZtM,1.62,2.32,2.16,{}
Saviour Machine,Love Never Dies,chill,2ey5yPiGpnww8SbTfLXiqk,3.4009090909090913,2.1420454545454546,3.6579545454545457,{}
Saviour Machine,The End of the Age,chill,7mmruJwEaP04rMwGuDtUTP,3.44,2.1666666666666665,3.7,{}
Richard Youngs,I Am the Weather,sad,5rDAEz6MtxvVvw3JRwx1vt,2.98,2.433333333333333,3.2,{}
Hecq,I Will Survive,electronic,3PDicyyTumXyLSzUDW2Hwq,4.4775,3.5425,4.1675,{}
A7IE,Rain,downtempo,7uV1eTMoAJsrlu42Pg7VWq,3.23,2.705,3.475,{}
Robby Maria,Like A Zombie,singer-songwriter,484EIA0t9VNsjxXoWVGSto,3.71,3.4,3.0,{}
Manufacture,Emergency Broadcast,electronic,29lyzqvihlJCzkxztm6U9N,2.54,2.045,2.305,{}
