artist,track,genre,valence_tags,arousal_tags,dominance_tags,spotify_id
Hildur Guðnadóttir,Learning How to Act Normal,dark ambient,2.5225,3.92,3.0825,0voDqz72ORk3JETp1OUZiz
Lisa Gerrard,The Crossing,ambient,1.4348809523809525,2.090595238095238,1.7465476190476197,6g8OqmBpHXlIfKx3zpYhc7
Midnight Syndicate,Shadows,dark ambient,2.0940000000000003,3.292,2.4240000000000004,3N5GFPw1aAICWaixvDpLRD
Morkobot,Cammut,experimental,2.7966666666666664,2.8299999999999996,2.696666666666667,0qX8e474JNs14OdaImX79f
Buz,Ecuador,electronic,2.18,3.443333333333334,2.6866666666666665,6yboKlqA3Jb9BDMQDfjXBO
Vic Sadot,Beer Muscles,blues,2.5,2.995,3.7575,3fsKS547mTFXAQuHKnMaGk
The Strange,Broken Bones,blues,4.162,3.72,4.406,6CLcShA9QZz35X39xGjcyt
Swans,Stupid Child,experimental,1.7333333333333334,3.289999999999999,2.18,7qcNm3UBrPr4n3TDD87wQb
Soft Cell,Baby Doll,new wave,4.2325,3.7725,3.7825,4Iug1NAftK1C0zR8jYsukb
Firewater,Anything at All,alternative,1.87,2.065,1.98,6Sw4OPjwlR2PfGGls7ax9Y
Lisa Germano,I Love a Snot,singer-songwriter,2.54,2.045,2.305,4fpRubTtOXGx9QnC10cyzk
Lisa Germano,"Forget It, It's A Mystery",singer-songwriter,2.54,2.045,2.305,4J7ROPeAO2HM5kiqqOTwA9
Joy Division,Heart And Soul (Remastered),post-punk,2.54,2.045,2.305,2l7YzEVRQjEn7qiBLqvQMy
The Fall,Mansion,indie,3.537464788732395,3.596619718309859,3.3143661971830984,4z9tXLfMb0lwBX0CGfPPBa
Lost in the Trees,Walk Around the Lake,indie rock,1.975,2.7850000000000006,2.24,0ogMcL24FJmUCdW5EC32rC
Akira Yamaoka,Rain of Brass Petals,electronic,2.0166666666666666,3.02,2.7733333333333334,520FkYBBkcK8VBp1R0N03r
Public Image Ltd.,Francis Massacre,post-punk,1.975,2.785,2.24,0GhKq5xyV8uYRWlZFtIjXx
Richard Thompson,I Misunderstood,singer-songwriter,3.920000000000001,3.905,4.058999999999998,6sFDgQSKphJdpdYznrwwuF
Bob Dylan,High Water,folk,3.8575,3.8825,4.92,1r6IfDCKm3YqPo5UyFvSMv
R.L. Burnside,Shuck Dub,blues,3.497826086956522,3.8656521739130434,5.314782608695652,7lNr4eqSP7MCUCbDUGHWRo
Hecq,Dis,ambient,3.911999999999999,3.3359999999999994,4.146,4YpsL87RD3QIt5oaYSXTNE
Karl Sanders,Kali Ma,ambient,3.701089108910891,3.384554455445545,3.818217821782178,2pLsAE2ysi1vvhLjPwWIef
Hecq,Dis (Reverberation),electronic,1.975,2.785,2.24,6bXqg6n8W85YtL3X3JKucH
Gary Numan,Berserker,electronic,3.01,3.22,3.0300000000000007,0qLfKglZdKheWDjGE5mMbP
Nox Arcana,The Grande Hall,dark ambient,3.8474999999999993,3.4375,3.675,7DJfmTagz1esGIKa4i3p4o
Midnight Syndicate,Relic Uncovered,dark ambient,3.8474999999999993,3.4375,3.675,73pvSNr6EyE4zfMWVylFA0
Midnight Syndicate,Forbidden Crypts,dark ambient,3.8475,3.4375,3.6750000000000007,1Q4dWOkADniEFyY94VfIpa
Svartsinn,Towards the Dark and Cold,dark ambient,3.5547191011235957,3.771460674157304,3.752134831460674,5ZG7rymOEwm2l5r7J3FAaQ
The Legendary Pink Dots,This Could Be The End,experimental,2.527079207920792,3.125,3.0714851485148515,3OdWIL0FK7xdY2yLwGAYqo
Midnight Syndicate,Undead Hunters,dark ambient,4.362011834319526,3.8304733727810647,4.325384615384616,0oWRsI5B6aE2N6OyA5LGH5
Penitent,Veien,dark ambient,3.6875,3.4375,3.5500000000000007,4bGK2heccgIlo0bu3TQ4L7
Robert Rich,Part 2,ambient,3.3975,3.8925,3.035,6KlU318oOgxbTqG1cw4xk9
The Brian Jonestown Massacre,golden-frost,alternative rock,2.3433333333333333,3.8133333333333335,3.3233333333333333,4PsA5KQOT1P0brI4nC8SWN
Films,control,dark ambient,3.5025,3.70125,3.32625,23dC5OvoQE90MZISMeHzcy
Ambre,Escale,dark ambient,2.316666666666667,3.64,2.7266666666666666,0TcP6JSOff18FhKj27babP
Forward Strategy Group,Inside The Shadows,downtempo,3.24,3.415,3.4425,2FVGES8KgtjoaMsaoxKEVn
Hrsta,Tomorrow Winter Comes,ambient,2.3511904761904763,3.3154761904761907,2.666666666666667,63xgoYaAgbxdMgIxdJaAkM
Screamin Jay Hawkins,I Put a Spell on You,blues,3.2316161616161616,3.614141414141414,4.301565656565657,3sLhMSePzxSrmxluIqeoAZ
Mstislav Rostropovich,"Cello Suite No. 5 in C, BWV 1011 I. Prelude",sad,2.0166666666666666,3.02,2.7733333333333334,0UPJZEVCJ3yKG2iqc15FfR
Matmos,Roses & Teeth for Ludwig Wittgenstein,electronic,3.143529411764706,3.371176470588235,3.521764705882353,27nRKfLZHYLYRzYLcT5yb6
Marissa Nadler,Hay Tantos Muertos,folk,3.4275,3.931666666666667,3.961666666666666,1G6abV0L63OzcVbsLFbzBr
Ryan Adams,To Be Young,singer-songwriter,3.8390839694656496,3.67618320610687,4.629847328244276,0aLk2Za7r0eGlLOepW2hzL
The Replacements,Favorite Thing,alternative,3.336,3.804,3.95,4OOdr4y9vFngVywhqn5hLZ
The Replacements,Little Mascara,indie rock,3.252,3.654,3.802,2gp2MEaiTOvRIWPeCxRL5Z
James Pants,This Crazy Sound,electronic,4.2725,3.9075,4.0075,44Q7cSIX3lIosjn1TRFWeA
Marina and the Diamonds,Teen Idle,alternative,4.123378378378378,3.712702702702702,4.86472972972973,7HSZigV3SjVlKrCfz2iR28
Aphex Twin,Gwarek2,experimental,4.078818181818182,3.898,3.885636363636365,37GmMcVxRYtQsvruXdPfwB
Trentemøller,The Very Last Resort,electronic,1.2050000000000003,2.24,2.09,14U3Jkn1uCMOGlkQFzbFFd
Tom Waits,Eyeball Kid,alternative,3.38304347826087,3.2030434782608697,4.69,4OUrrO4JYfB4BAF6Nq1d2S
The Pop Group,Savage Sea,experimental,3.858695652173913,3.955760869565217,3.8757608695652177,5vYt9ZaAfLNnz0ADxewUIo
Tom Waits,Black Box Theme,experimental,3.4047191011235953,3.5442696629213484,4.079887640449439,42Wq3QC7HxMVqRAAq0cQ02
Dinosaur Jr.,Bulbs of Passion,indie,3.61,3.01,3.145,0cQj31y73Gb8GtDqIfUTJf
The Pop Group,We Are Time,post-punk,2.8266666666666667,3.22,2.84,2FyMbe88Db0Cai0X6XZkwM
Butthole Surfers,HAY,alternative rock,2.408148148148148,3.661111111111111,2.8745185185185185,3bh3XLVDa06uYcTW3LE1CL
Dirty Beaches,Hotel,experimental,2.54,2.045,2.305,6Dyij0b1YlcjsOC08QxXGU
The Fall,To NK Roachment: Yarbles,post-punk,1.375,2.66,2.36,16pUCHRzEayZ3LYLQYvT4J
Kwoon,Schizophrenic,post-rock,1.87,2.065,1.98,6ADLJ5LDRcja0aqSTqgZuw
Black Eyes,Day Turns Night,experimental,1.5,2.675,1.85,6aE4YhOMRvpTewud7kRSKo
Autechre,iris was a pupil,electronic,2.5311111111111115,3.4726666666666666,3.0734814814814815,7oqZtmMt3dHNFaAJgqliLI
Guided by Voices,Circus World,indie,1.87,2.065,1.98,5O5rVQWCLjcPchH27hNZ2G
John Vanderslice,Time Travel Is Lonely,indie,4.431287128712872,1.8640594059405944,4.643564356435643,3lsO1fK4wGLsENSMnDV76B
Labradford,The Cipher,ambient,2.9066666666666667,3.1466666666666665,2.936666666666667,1GnEph5t19CIuW1C9VO4u6
Matt Elliott,Let Us Break,sad,3.000170212765958,3.5538297872340427,3.623914893617021,2eomx6qLa6Iiatf54zQB4W
Art Ensemble Of Chicago,Nice Guys,jazz,3.2625,2.438636363636364,4.455454545454545,5MDxPBSpSzkdCX3UfUTj0u
Black Prairie,Red Rocking Chair,folk,3.774,3.878,3.592,5jFW4dt0r0YBgt6jb9qZfd
The Dream Academy,Lowlands,new wave,3.6266666666666665,2.4466666666666668,3.5533333333333332,1fCsAqhFw5rEDjkPRH9SHc
Kayo Dot,All the Pain in All the Wide World,experimental,2.1775,3.6175,3.2025,2buyVqqpwEThUvt0z75z36
Belbury Poly,Caermaen,electronic,3.44,3.842,3.634,4qkrxmPzmepaAzbxhaA6Oi
Lisa Knapp,Salisbury Plain,folk,2.2,3.0,2.24,5tzGTMoPQExnY4kGKySt8A
Wire,Mercy (LIVE),experimental,3.2,1.835,2.775,7A8NLREMp1WXVED9cfZWZY
Mono Puff,Pretty Fly,alternative,3.05,1.8,3.2,1OMIZ1sEf0TuYp2NSSM96E
"greenwood, johnny",Splitter,jazz,1.45,2.545,1.905,2zXJC0cYs73vHUupwZ2TUi
The Smashing Pumpkins,Once In A While,alternative rock,3.0766666666666667,2.176666666666667,3.313333333333333,469ziIz3ATOCd5LdvHFL96
Cold,Ugly,alternative rock,3.454615384615385,3.282051282051282,4.184102564102564,1BahwDp8VpzUCVFFMCmnu0
Cold,Goodbye Cruel World,alternative rock,2.88,2.3666666666666667,3.4466666666666668,1gFAzvZMJ9cryHn7WPQP7Q
Buckethead,Nun Chuka Kata,experimental,1.66,2.32,1.54,1AaerPFs7hrKbbc1b9eN59
Killing Joke,Intellect,post-punk,2.475,1.85,3.38,6XSywRtVv4oDoZDFx3b1bg
David Ruffin,Flower Child,soul,1.05,1.745,1.92,4hfWMvy24fC8ARALw0K81f
Starred,Call From Paris,indie,2.825,3.3,2.785,1yP3Sp9mm7WxJrTKRs5Jfq
Nick Cave and the Bad Seeds,Knockin' On Joe,alternative rock,3.47,3.673333333333334,3.1666666666666665,6LWbsuizvIDhRInuMTUuKj
The Fall,City Hobgoblins,post-punk,4.134,3.854,4.392,62hHF266kPe7hlbsyFhWrP
Archers of Loaf,Chumming the Ocean,indie,3.2933333333333334,3.2333333333333334,3.486666666666667,1gp42C1ZeQyijMAYanBZYD
Wire,The Boiling Boy,alternative,3.588333333333334,4.0,4.366666666666666,1UEXt8wcHhmYyGU9LcTe8m
Nick Cave and the Bad Seeds,All Tomorrow's Parties,post-punk,2.9166666666666665,3.57,3.8633333333333337,5PVsCUUidQVguSsQLJCeJs
Warpaint,Warpaint,shoegaze,3.374901960784314,2.2915686274509803,2.9033333333333333,3uwGdk3fTCJWdsgSP3xarW
Tom Waits,All Stripped Down,blues,3.606814814814815,3.591333333333333,4.916814814814814,7ewEOs7UyFUyvPuaKiupFn
Suicide,Rocket Usa,post-punk,1.1372972972972972,1.262702702702703,1.0702702702702702,4blOl7hn38P3Q2AB2L4TlT
Shearwater,Rooks,indie,3.5980000000000003,2.774,3.3160000000000003,3wS568uaBrv1ULtMmh9bbN
Bill Callahan,All Thoughts are Prey to Some Beast,indie,4.165,2.96,3.7675,1EhtOYRE5CLvYZBoTOL6PY
Say Anything,The Word You Wield,alternative rock,4.266666666666667,3.38,3.8133333333333335,5pjgsr79v5GjPtY8G6Cdg5
Low,Pretty People,indie,4.361217391304348,2.932956521739131,4.05904347826087,5vcizVsii3SzJuniGZoAYT
"¡Forward, Russia!",Thirteen,indie,3.7850000000000006,3.05,2.905,4R8Qy25YGvIYusjmmCryLY
This Heat,A New Kind of Water,experimental,1.625,2.0,1.95,6Czpq4cmeuv3sc5K9281or
Dirty Three,Ends Of The Earth,post-rock,3.936666666666667,2.673333333333333,3.62,2SRjggiVD1LB3ivsgT2MTs
Squarepusher,Ruin,electronic,4.266666666666667,3.38,3.8133333333333335,3ZLrDn4H2Yf49AqqcXcmiw
Tiny Tim,Tip Toe Thru' the Tulips With Me,experimental,4.235,3.025,3.605,1Vchex0xowRj9k59RLvRfo
Current 93,Thunder Perfect Mind II,experimental,3.34,2.185,2.525,6WKzOcKc1rZxkRZblw9lPB
Colleen,Long Live Mice in the Metro,ambient,1.8475,1.9325,2.2275,2bxU91lro7lnaHRE9B2Vha
Sleepytime Gorilla Museum,Ablutions,experimental,3.86,3.0249999999999995,3.415,1CwhH6rF9jGCz6npAsqadT
Labradford,Scenic Recovery,ambient,3.2150000000000003,3.183333333333333,3.381666666666667,2GD81NMNCXPEnDhj7RtifR
Arcana,March of Loss,dark ambient,3.614,3.6520000000000006,3.665999999999999,70qLc4g9jALG6CpSnLuPLv
Mount Sims,Ashes,electronica,4.21,2.7475,4.055,2RM99SilID02L1QT4lbdEn
Current 93,"It Is Time, Only Time",singer-songwriter,1.46,1.905,1.95,63W1ZOoMRCbdgTDpkm18TB
Seefeel,When Face Was Face,electronic,3.025,2.725,2.38,4g5xSjkt8TvMVTHoMmtFFu
Current 93,Chewing On Shadows,dark ambient,2.62,2.0,1.59,5SmuvDHBTCTX6e3PH5nvuL
Hecq,Giants,ambient,2.86,2.045,2.555,6kHazW34Rk9ED21Bu2VSIg
Hecq,Magnetism,ambient,2.86,2.045,2.555,4GsFvKSpPzs5rrpHQoTTjG
Nina Simone,22nd Century,jazz,1.24,1.5,1.7849999999999997,1NZAisHXFuKJqOjr14TvDN
Lisa Gerrard,Solace,ambient,1.05,1.745,1.92,51E2RKkV16jkXQ6lrDn8jV
Current 93,Judas As Black Moth II,singer-songwriter,1.2466666666666666,1.3766666666666667,1.32,0Mr0u7kcDLVe5xjgbZ5RLf
Raime,If Anywhere Was Here He Would Know Where We Are,dark ambient,3.6475,2.875,3.3425,3JkYxonCipv0U89bMgfQDx
Raison D'Être,The Wasteland,dark ambient,1.97,2.18,2.415,4a6ziAbdakNcfZavBEvaP6
Current 93,Locust,experimental,3.3733333333333335,2.9533333333333336,3.556666666666666,4kHTVmAr4MTB55SOxuIKUh
Current 93,Maldoror Is Ded Ded Ded Ded,experimental,4.2775,3.295,3.585,0QDefl5lHz4Li7ZWakrpVk
Bohren & der Club of Gore,3,jazz,2.2,3.0,2.24,1Cza277Bls93UYYKkmiSnb
The Legendary Pink Dots,Sterre,experimental,2.605,1.735,2.74,75HSMogR4OoKdKKclw424X
Coil,Ostia,experimental,1.27,1.0225,1.1525,6BJIxnku7keldgmaN6vhkV
The Legendary Pink Dots,Waiting For The Cloud,experimental,3.595,2.4,2.6599999999999997,52v4RndWtT6h1XzZVJ55T0
Ordo Rosarius Equilibrio,Serpent Kisses and Serpent Smiles Inside the Order of Roses and Equilibrium,dark ambient,2.86,2.045,2.555,01Gy4gngo60BWDHN0nqnPU
Data,Stop,electronic,2.2733333333333334,1.143333333333333,2.1466666666666665,6FIgO4W0JJeaY7myF1SEwP
Ordo Rosarius Equilibrio,Ode To the Beloved and Impaired,dark ambient,2.54,2.045,2.305,6AlcTDU3K1CyKeovZm7gXf
Senking,Common Business,electronic,1.5,2.675,1.85,27B0riYvLZCQPYLlonjNuh
Charles Mingus,Eclipse,jazz,2.58,1.625,2.775,0WHO4OsdaUJhyUBIYmO9b2
Hecq,Cr.Blox,electronic,2.296666666666667,2.4833333333333334,2.37,2icfVDEEMAMn7iSw46cEoF
The Legendary Pink Dots,Lisa's Party,experimental,2.4026666666666667,1.9795555555555555,2.5336296296296297,6kDUPwxQ1UC4diiC5pyS6x
Sabled Sun,This Is Where The World Ends,ambient,2.86,2.045,2.555,17retSrJwod0YK2geceKID
Hecq,Bad Karma,electronic,3.5225,3.045,3.475,4w7GMijxGsrsqU82riXhTK
Lamia Vox,Enemy of Heaven,dark ambient,2.625,1.865,1.97,110VAghNprz2FUvxUXhgzI
Centhron,Gleichschritt,electronic,3.595,2.4,2.66,37Vt1mHGMdplkugNpsAw7e
Flint Glass,Dust particles,electronic,2.7733333333333334,3.3033333333333332,2.64,4GfG9YcDN9zOOLHkWrYOk3
New Risen Throne,A Glance Thru The Mournful Remains,dark ambient,3.6,2.7266666666666666,3.24,2cPYjx6AKUaJBGHbtK5xPs
Front Line Assembly,Prophecy (YK2000 Mix),electronic,3.57,3.3866666666666667,3.1733333333333333,1b4fiCaR68J51SsQ9CoAy8
Pauline Oliveros,Mnemonics III,experimental,2.1333333333333333,3.64,2.536666666666666,3GtjlrRLobqKsSx3Iij8LI
Dirge,Epicentre,dark ambient,2.86,2.045,2.555,5AauaapIOBsBk47B3ldWcv
klangstabil,Kill All Lifeforms,electronic,1.62,2.32,2.16,2xJsaTQRaSHuLJS1OtjZtM
Saviour Machine,Love Never Dies,chill,3.4009090909090913,2.1420454545454546,3.6579545454545457,2ey5yPiGpnww8SbTfLXiqk
Saviour Machine,The End of the Age,chill,3.44,2.1666666666666665,3.7,7mmruJwEaP04rMwGuDtUTP
Richard Youngs,I Am the Weather,sad,2.98,2.433333333333333,3.2,5rDAEz6MtxvVvw3JRwx1vt
Hecq,I Will Survive,electronic,4.4775,3.5425,4.1675,3PDicyyTumXyLSzUDW2Hwq
A7IE,Rain,downtempo,3.23,2.705,3.475,7uV1eTMoAJsrlu42Pg7VWq
Robby Maria,Like A Zombie,singer-songwriter,3.71,3.4,3.0,484EIA0t9VNsjxXoWVGSto
Manufacture,Emergency Broadcast,electronic,2.54,2.045,2.305,29lyzqvihlJCzkxztm6U9N
Dark Model,Judgment Day,electronic,2.585,3.295,2.385,4mvfN0Z2lmDGYYrFuxtaEP
Interdictor,Josef K,electronic,2.585,3.295,2.385,19zxCVm5pOipqUDnvYyUuZ
Razor Edge,No Result for Peace,downtempo,1.575,1.66,1.575,5Z8FfyPyoSZqqi05axX1v2
Judgehydrogen,Of Lepers and Prophets,dark ambient,2.5533333333333332,2.94,2.6666666666666665,6A6FlSSAdbUiAIToRBVUGg
Judgehydrogen,In These Hands,ambient,3.393,3.653,3.791,6TcARmP2eTka6IwZ0EF1W2
cellzcellar,In your small hands,trip-hop,3.595,2.4,2.66,7iXspWTHl3XWGkoPbK5PWV
Umbra Stellar,Humanity Survivor Syndrome,electronic,1.634285714285714,1.1685714285714286,1.46,1Br2l85joMwf62p3hJPUf7
Robby Maria,Days in the City,indie,2.24,1.62,2.1666666666666665,7gRGYMzxXD4uzSI8MShPDq
Umbra Stellar,Yellowstone Arousal Chant,ambient,3.253636363636363,2.2954545454545454,2.8063636363636366,27SGalx4R8JL6TPLOwsyjz
The Flood Plain,The Millennium,electronic,2.3933333333333335,2.526666666666667,2.816666666666667,1OESba6GUoCNa4gzrntFK1
Joy Division,New Dawn Fades,post-punk,4.105438596491228,3.893157894736842,4.03140350877193,5EabbLQZbdhCqG6aK9PFLU
